Attendance (%),Bengali,English,Math,Science,Total mark,Assignment Score,class participation,Study Hours per Week,Class Participation Score,Attendance_Scaled,Academic_Score,Engagement_Score,Effort_Score,Final_Performance_Score,Cluster,Cluster_Label,Weakest_Subject,AI_Tutor_Feedback,Risk_Level
63.0,0.0,2.0,10.0,6.0,4.5,6.0,7.0,4.0,1.0,6.3,4.5,6.65,5.0,5.245,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
67.0,2.0,1.0,5.0,1.0,2.25,9.0,8.0,5.0,1.0,6.7,2.25,7.35,7.0,4.7299999999999995,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
62.0,5.0,1.0,7.0,2.0,3.75,8.0,2.0,6.0,7.0,6.2,3.75,4.1,7.0,4.505,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
76.0,2.0,3.0,7.0,2.0,3.5,10.0,0.0,9.0,8.0,7.6,3.5,3.8,9.5,4.79,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
77.0,4.0,6.0,10.0,8.0,7.0,5.0,8.0,4.0,10.0,7.7,7.0,7.85,4.5,6.755000000000001,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
78.0,2.0,9.0,2.0,5.0,4.5,9.0,0.0,10.0,5.0,7.8,4.5,3.9,9.5,5.32,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Bengali performance.,Medium Risk
68.0,0.0,3.0,10.0,1.0,3.5,3.0,5.0,7.0,5.0,6.8,3.5,5.9,5.0,4.52,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
60.0,9.0,5.0,3.0,4.0,5.25,1.0,4.0,6.0,8.0,6.0,5.25,5.0,3.5,4.825,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
70.0,1.0,1.0,4.0,4.0,2.5,7.0,8.0,5.0,6.0,7.0,2.5,7.5,6.0,4.7,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
56.0,7.0,5.0,4.0,8.0,6.0,1.0,10.0,10.0,6.0,5.6,6.0,7.8,5.5,6.4399999999999995,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Low attendance is affecting your academic performance. Focus more on improving your Math performance.,Medium Risk
53.0,10.0,7.0,1.0,7.0,6.25,2.0,7.0,1.0,7.0,5.3,6.25,6.15,1.5,5.27,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Math performance.,Medium Risk
90.0,10.0,5.0,0.0,9.0,6.0,3.0,9.0,1.0,1.0,9.0,6.0,9.0,2.0,6.1,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
67.0,10.0,7.0,6.0,9.0,8.0,8.0,10.0,9.0,10.0,6.7,8.0,8.35,8.5,8.205,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Low Risk
97.0,10.0,2.0,5.0,5.0,5.5,7.0,2.0,6.0,10.0,9.7,5.5,5.85,6.5,5.805,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
